順位,駅名,定期外,定期,合計,前年比
1,新宿,360977 ,408329 ,769307 ,1.2
2,池袋,235973 ,323947 ,559920 ,0.6
3,東京,209286 ,230268 ,439554 ,1.1
4,横浜,162337 ,252346 ,414683 ,0.8
5,品川,159278 ,212508 ,371787 ,2.9
6,渋谷,177077 ,194258 ,371336 ,-0.2
7,新橋,103445 ,167583 ,271028 ,1.9
8,大宮,96346 ,156422 ,252769 ,0.9
9,秋葉原,134017 ,112605 ,246623 ,1.1
10,北千住,57215 ,157106 ,214322 ,2.1
11,川崎,81337 ,128142 ,209480 ,0.8
12,高田馬場,79920 ,126762 ,206683 ,2
13,上野,97395 ,85298 ,182693 ,0.6
14,有楽町,76921 ,92629 ,169550 ,1.3
15,立川,75760 ,89885 ,165645 ,1.1
16,大崎,55595 ,105224 ,160820 ,4.1
17,浜松町,59420 ,95873 ,155294 ,0
18,田町,43847 ,108776 ,152624 ,2.5
19,中野,54781 ,91619 ,146400 ,1
20,蒲田,49551 ,94520 ,144072 ,0.6
21,恵比寿,68173 ,75725 ,143898 ,2.9
22,吉祥寺,60367 ,81273 ,141640 ,0.2
23,船橋,47284 ,90720 ,138004 ,0.6
24,西船橋,52895 ,83171 ,136067 ,1.3
25,五反田,54710 ,81335 ,136045 ,1.7
26,武蔵小杉,47224 ,80854 ,128079 ,3
27,柏,40228 ,83961 ,124190 ,0.9
28,町田,43367 ,69079 ,112447 ,0.3
29,国分寺,36307 ,75372 ,111679 ,0.3
30,戸塚,31411 ,79994 ,111405 ,0.5
31,日暮里,49347 ,61181 ,110529 ,2.9
32,目黒,49008 ,61210 ,110219 ,1.9
33,藤沢,36940 ,71264 ,108205 ,0.7
34,錦糸町,47799 ,58422 ,106222 ,1
35,千葉,41915 ,63289 ,105205 ,0.7
36,御茶ノ水,40935 ,63881 ,104816 ,-0.1
37,大井町,41063 ,63167 ,104230 ,1.1
38,津田沼,29890 ,73811 ,103702 ,0.3
39,神田,43956 ,57383 ,101340 ,2.4
40,西日暮里,38629 ,61646 ,100276 ,1.6
41,松戸,31460 ,68767 ,100228 ,0.1
42,大船,35557 ,63581 ,99139 ,0.3
43,三鷹,31548 ,64419 ,95968 ,1.2
44,四ツ谷,32170 ,63376 ,95546 ,1.6
45,大森,33735 ,61454 ,95189 ,0.3
46,飯田橋,33858 ,60104 ,93962 ,-0.1
47,赤羽,40036 ,53498 ,93534 ,1.5
48,浦和,31286 ,58676 ,89963 ,2.6
49,荻窪,33923 ,54364 ,88288 ,0.9
50,仙台,45901 ,41438 ,87340 ,2.8
51,八王子,36087 ,49005 ,85093 ,-1.3
52,武蔵溝ノ口,29486 ,55088 ,84575 ,1
53,水道橋,39160 ,44191 ,83351 ,0.6
54,川口,27575 ,55444 ,83020 ,0.8
55,登戸,26254 ,55410 ,81664 ,0.6
56,鶴見,26613 ,53568 ,80182 ,0.6
57,舞浜,49078 ,29198 ,78277 ,1
58,巣鴨,31373 ,45778 ,77151 ,0.7
59,原宿,52754 ,23330 ,76084 ,3.2
60,新木場,30241 ,45507 ,75748 ,2.2
61,新小岩,24458 ,50931 ,75389 ,1.7
62,南越谷,26075 ,48115 ,74191 ,1.2
63,桜木町,35940 ,34346 ,70286 ,2.5
64,北朝霞,22226 ,47918 ,70145 ,1.5
65,代々木,36946 ,32720 ,69667 ,-0.8
66,武蔵境,21442 ,46225 ,67667 ,1.3
67,御徒町,31110 ,35864 ,66975 ,0.3
68,海浜幕張,28348 ,37029 ,65377 ,3.4
69,橋本,23761 ,41614 ,65375 ,1.4
70,小岩,22215 ,42988 ,65204 ,1
71,王子,21962 ,41728 ,63690 ,2.4
